epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.2668,1.58623,1.41556,1.01462,0.98455,0.98634,0.99394,0.61707,1.29257,0.60326,0.92097,0.000658635,0.000658635,0.000658635
2,57.2331,1.33163,0.63085,0.91558,0.91716,0.94738,0.93127,0.52705,1.27265,0.66166,0.8975,0.00106289,0.00106289,0.00106289
3,87.3377,1.29716,0.59527,0.91261,0.99271,0.9941,0.99446,0.61462,1.30631,0.57488,0.90702,0.00120315,0.00120315,0.00120315
4,118.521,1.27246,0.56584,0.89919,0.99383,0.99713,0.99475,0.66064,1.19227,0.51461,0.8847,0.000812,0.000812,0.000812
5,149.611,1.23623,0.52262,0.89276,0.99728,0.99757,0.99482,0.68063,1.18473,0.48527,0.88121,0.000416,0.000416,0.000416
